IBOV - Carteira do Dia 07/08/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,413;
ALSO3;ALIANSCSONAE;ON      NM;532.365.440;0,618;
ALPA4;ALPARGATAS;PN      N1;201.952.502;0,088;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,100;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,241;
ASAI3;ASSAI;ON      NM;1.190.824.431;0,783;
AZUL4;AZUL;PN      N2;327.646.296;0,271;
B3SA3;B3;ON      NM;5.733.398.051;4,051;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,017;
BBDC3;BRADESCO;ON  EJ  N1;1.500.631.902;1,007;
BBDC4;BRADESCO;PN  EJ  N1;5.146.612.491;3,819;
BRAP4;BRADESPAR;PN      N1;251.008.334;0,280;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,234;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,301;
BRFS3;BRF SA;ON      NM;1.676.512.610;0,827;
BPAC11;BTGP BANCO;UNT EJ  N2;1.225.470.424;1,919;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,305;
CCRO3;CCR SA;ON      NM;998.462.635;0,626;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,844;
CIEL3;CIELO;ON      NM;1.095.401.258;0,219;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,290;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,644;
CSAN3;COSAN;ON      NM;1.171.063.698;1,109;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,317;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,225;
CVCB3;CVC BRASIL;ON      NM;442.634.342;0,064;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,329;
DXCO3;DEXCO;ON      NM;274.863.424;0,123;
ELET3;ELETROBRAS;ON      N1;2.019.004.498;3,531;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,544;
EMBR3;EMBRAER;ON  ATZ NM;734.632.205;0,617;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,585;
ENEV3;ENEVA;ON      NM;1.577.877.205;0,987;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,533;
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,748;
EZTC3;EZTEC;ON      NM;94.318.339;0,105;
FLRY3;FLEURY;ON      NM;422.811.447;0,324;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,474;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,431;
GOLL4;GOL;PN      N2;218.221.868;0,099;
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,714;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,268;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,988;
HYPE3;HYPERA;ON      NM;400.842.480;0,858;
IGTI11;IGUATEMI S.A;UNT     N1;215.741.055;0,232;
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,159;
ITSA4;ITAUSA;PN      N1;5.014.245.900;2,351;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.630.041;6,429;
JBSS3;JBS;ON      NM;1.134.986.483;1,084;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,784;
RENT3;LOCALIZA;ON      NM;841.062.110;2,707;
LWSA3;LOCAWEB;ON      NM;430.758.874;0,147;
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,896;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,422;
MRFG3;MARFRIG;ON      NM;292.587.273;0,113;
CASH3;MELIUZ;ON      NM;69.155.277;0,032;
BEEF3;MINERVA;ON      NM;260.340.982;0,134;
MRVE3;MRV;ON      NM;383.509.465;0,257;
MULT3;MULTIPLAN;ON      N2;266.933.994;0,354;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,154;
PETR3;PETROBRAS;ON      N2;2.990.884.064;4,723;
PETR4;PETROBRAS;PN      N2;4.566.511.125;6,580;
PRIO3;PETRORIO;ON      NM;839.159.130;1,917;
PETZ3;PETZ;ON      NM;335.865.260;0,114;
RADL3;RAIADROGASIL;ON      NM;1.163.955.366;1,557;
RAIZ4;RAIZEN;PN  ED  N2;1.200.488.532;0,235;
RDOR3;REDE D OR;ON      NM;1.095.177.074;1,835;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,355;
SBSP3;SABESP;ON      NM;340.002.999;0,870;
SANB11;SANTANDER BR;UNT;355.642.848;0,475;
SMTO3;SAO MARTINHO;ON  ED  NM;143.294.210;0,227;
CSNA3;SID NACIONAL;ON;589.695.175;0,366;
SLCE3;SLC AGRICOLA;ON      NM;105.899.222;0,228;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,755;
TAEE11;TAESA;UNT     N2;218.568.234;0,383;
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,867;
TIMS3;TIM;ON      NM;808.436.195;0,563;
TOTS3;TOTVS;ON  EJ  NM;513.869.896;0,723;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,995;
USIM5;USIMINAS;PNA     N1;515.014.562;0,176;
VALE3;VALE;ON      NM;4.035.078.991;13,093;
VIIA3;VIA;ON      NM;1.576.975.642;0,142;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,916;
WEGE3;WEG;ON      NM;1.260.665.218;2,473;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,307;
Quantidade Teórica Total;;;96.503.698.163;100,000
Redutor;;;17.422.429,36491689
